Date,Price
1990-Dec-31,
1991-Dec-31,
1992-Dec-31,
1993-Dec-31,
1994-Dec-31,
1995-Dec-31,
1996-Dec-31,
1997-Dec-31,2.49
1998-Dec-31,2.09
1999-Dec-31,2.27
2000-Dec-31,4.31
2001-Dec-31,3.96
2002-Dec-31,3.38
2003-Dec-31,5.47
2004-Dec-31,5.89
2005-Dec-31,8.69
2006-Dec-31,6.73
2007-Dec-31,6.97
2008-Dec-31,8.86
2009-Dec-31,3.94
2010-Dec-31,4.37
2011-Dec-31,4.00
2012-Dec-31,2.75
2013-Dec-31,3.73
2014-Dec-31,4.37
2015-Dec-31,2.62
2016-Dec-31,2.52
2017-Dec-31,2.99
2018-Dec-31,3.15
2019-Dec-31,2.56
