Date,Price
1997-Jan-01,3.45
1997-Feb-01,2.15
1997-Mar-01,1.89
1997-Apr-01,2.03
1997-May-01,2.25
1997-Jun-01,2.20
1997-Jul-01,2.19
1997-Aug-01,2.49
1997-Sep-01,2.88
1997-Oct-01,3.07
1997-Nov-01,3.01
1997-Dec-01,2.35
1998-Jan-01,2.09
1998-Feb-01,2.23
1998-Mar-01,2.24
1998-Apr-01,2.43
1998-May-01,2.14
1998-Jun-01,2.17
1998-Jul-01,2.17
1998-Aug-01,1.85
1998-Sep-01,2.02
1998-Oct-01,1.91
1998-Nov-01,2.12
1998-Dec-01,1.72
1999-Jan-01,1.85
1999-Feb-01,1.77
1999-Mar-01,1.79
1999-Apr-01,2.15
1999-May-01,2.26
1999-Jun-01,2.30
1999-Jul-01,2.31
1999-Aug-01,2.80
1999-Sep-01,2.55
1999-Oct-01,2.73
1999-Nov-01,2.37
1999-Dec-01,2.36
2000-Jan-01,2.42
2000-Feb-01,2.66
2000-Mar-01,2.79
2000-Apr-01,3.04
2000-May-01,3.59
2000-Jun-01,4.29
2000-Jul-01,3.99
2000-Aug-01,4.43
2000-Sep-01,5.06
2000-Oct-01,5.02
2000-Nov-01,5.52
2000-Dec-01,8.90
2001-Jan-01,8.17
2001-Feb-01,5.61
2001-Mar-01,5.23
2001-Apr-01,5.19
2001-May-01,4.19
2001-Jun-01,3.72
2001-Jul-01,3.11
2001-Aug-01,2.97
2001-Sep-01,2.19
2001-Oct-01,2.46
2001-Nov-01,2.34
2001-Dec-01,2.30
2002-Jan-01,2.32
2002-Feb-01,2.32
2002-Mar-01,3.03
2002-Apr-01,3.43
2002-May-01,3.50
2002-Jun-01,3.26
2002-Jul-01,2.99
2002-Aug-01,3.09
2002-Sep-01,3.55
2002-Oct-01,4.13
2002-Nov-01,4.04
2002-Dec-01,4.74
2003-Jan-01,5.43
2003-Feb-01,7.71
2003-Mar-01,5.93
2003-Apr-01,5.26
2003-May-01,5.81
2003-Jun-01,5.82
2003-Jul-01,5.03
2003-Aug-01,4.99
2003-Sep-01,4.62
2003-Oct-01,4.63
2003-Nov-01,4.47
2003-Dec-01,6.13
2004-Jan-01,6.14
2004-Feb-01,5.37
2004-Mar-01,5.39
2004-Apr-01,5.71
2004-May-01,6.33
2004-Jun-01,6.27
2004-Jul-01,5.93
2004-Aug-01,5.41
2004-Sep-01,5.15
2004-Oct-01,6.35
2004-Nov-01,6.17
2004-Dec-01,6.58
2005-Jan-01,6.15
2005-Feb-01,6.14
2005-Mar-01,6.96
2005-Apr-01,7.16
2005-May-01,6.47
2005-Jun-01,7.18
2005-Jul-01,7.63
2005-Aug-01,9.53
2005-Sep-01,11.75
2005-Oct-01,13.42
2005-Nov-01,10.30
2005-Dec-01,13.05
2006-Jan-01,8.69
2006-Feb-01,7.54
2006-Mar-01,6.89
2006-Apr-01,7.16
2006-May-01,6.25
2006-Jun-01,6.21
2006-Jul-01,6.17
2006-Aug-01,7.14
2006-Sep-01,4.90
2006-Oct-01,5.85
2006-Nov-01,7.41
2006-Dec-01,6.73
2007-Jan-01,6.55
2007-Feb-01,8.00
2007-Mar-01,7.11
2007-Apr-01,7.60
2007-May-01,7.64
2007-Jun-01,7.35
2007-Jul-01,6.22
2007-Aug-01,6.22
2007-Sep-01,6.08
2007-Oct-01,6.74
2007-Nov-01,7.10
2007-Dec-01,7.11
2008-Jan-01,7.99
2008-Feb-01,8.54
2008-Mar-01,9.41
2008-Apr-01,10.18
2008-May-01,11.27
2008-Jun-01,12.69
2008-Jul-01,11.09
2008-Aug-01,8.26
2008-Sep-01,7.67
2008-Oct-01,6.74
2008-Nov-01,6.68
2008-Dec-01,5.82
2009-Jan-01,5.24
2009-Feb-01,4.52
2009-Mar-01,3.96
2009-Apr-01,3.50
2009-May-01,3.83
2009-Jun-01,3.80
2009-Jul-01,3.38
2009-Aug-01,3.14
2009-Sep-01,2.99
2009-Oct-01,4.01
2009-Nov-01,3.66
2009-Dec-01,5.35
